session_id,semantic_event_id,start_ms,end_ms,speaking_rate_chars_per_sec,pause_before_ms,pause_after_ms,volume_rms_avg,volume_dbfs_avg,peak_dbfs_max,volume_change,emphasis_label,prosody_status,audio_evidence_refs,completion_status
latest_live_05,latest_live_05-SEM0055-000001459510,1459510,1478430,6.25,80,280,0.267719,-11.47,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000252;latest_live_05-A000253;latest_live_05-A000255;latest_live_05-A000256,passed
latest_live_05,latest_live_05-SEM0056-000001481150,1481150,1497750,7.01,240,2120,0.290417,-10.75,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000258;latest_live_05-A000259;latest_live_05-A000260;latest_live_05-A000261,passed
latest_live_05,latest_live_05-SEM0057-000001499870,1499870,1522430,4.24,120,600,0.346128,-9.22,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000262;latest_live_05-A000263;latest_live_05-A000264;latest_live_05-A000265,passed
latest_live_05,latest_live_05-SEM0058-000001522550,1522550,1541240,6.01,120,890,0.3408,-9.38,-0.28,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000266;latest_live_05-A000267;latest_live_05-A000268;latest_live_05-A000269;latest_live_05-A000270;latest_live_05-A000271,passed
latest_live_05,latest_live_05-SEM0059-000001541560,1541560,1571780,5.83,80,840,0.322311,-9.87,-1.27,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000272;latest_live_05-A000273;latest_live_05-A000274;latest_live_05-A000275,passed
latest_live_05,latest_live_05-SEM0060-000001572100,1572100,1582580,5.45,160,600,0.32509,-9.76,-1.85,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000276;latest_live_05-A000277;latest_live_05-A000278;latest_live_05-A000279;latest_live_05-A000280,passed
latest_live_05,latest_live_05-SEM0061-000001582700,1582700,1591900,5.84,120,1080,0.304195,-10.35,-1.79,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000281;latest_live_05-A000282;latest_live_05-A000283;latest_live_05-A000284,passed
latest_live_05,latest_live_05-SEM0062-000001591980,1591980,1608590,5.05,80,1090,0.305272,-10.32,-2.44,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000285;latest_live_05-A000286;latest_live_05-A000287;latest_live_05-A000288,passed
latest_live_05,latest_live_05-SEM0063-000001609150,1609150,1625630,5.24,560,920,0.267715,-11.48,-1.82,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000289;latest_live_05-A000290;latest_live_05-A000291;latest_live_05-A000292,passed
latest_live_05,latest_live_05-SEM0064-000001626240,1626240,1656520,4.62,240,1520,0.25078,-12.04,-0.8,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000293;latest_live_05-A000294;latest_live_05-A000295;latest_live_05-A000296,passed
latest_live_05,latest_live_05-SEM0065-000001656900,1656900,1674140,6.61,280,520,0.253699,-11.95,-0.16,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000297;latest_live_05-A000298;latest_live_05-A000299;latest_live_05-A000300,passed
latest_live_05,latest_live_05-SEM0066-000001674220,1674220,1693010,6.34,80,470,0.266068,-11.53,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000301;latest_live_05-A000302;latest_live_05-A000303;latest_live_05-A000304,passed
latest_live_05,latest_live_05-SEM0067-000001693330,1693330,1706050,6.64,80,580,0.261634,-11.65,-0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000305;latest_live_05-A000306;latest_live_05-A000307;latest_live_05-A000308,passed
latest_live_05,latest_live_05-SEM0068-000001706630,1706630,1753970,5.55,320,440,0.267052,-11.47,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000309;latest_live_05-A000310;latest_live_05-A000311;latest_live_05-A000312;latest_live_05-A000313;latest_live_05-A000314,passed
latest_live_05,latest_live_05-SEM0069-000001754010,1754010,1781680,5.56,40,520,0.263419,-11.62,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000315;latest_live_05-A000316;latest_live_05-A000317;latest_live_05-A000318,passed
latest_live_05,latest_live_05-SEM0070-000001782200,1782200,1798830,7.17,310,360,0.276187,-11.21,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000319;latest_live_05-A000320;latest_live_05-A000321;latest_live_05-A000322,passed
latest_live_05,latest_live_05-SEM0071-000001798910,1798910,1814510,7.21,80,440,0.267679,-11.46,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000323;latest_live_05-A000324;latest_live_05-A000325;latest_live_05-A000326;latest_live_05-A000327,passed
latest_live_05,latest_live_05-SEM0072-000001814920,1814920,1835840,7.12,120,320,0.279246,-11.09,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000328;latest_live_05-A000329;latest_live_05-A000330;latest_live_05-A000331,passed
latest_live_05,latest_live_05-SEM0073-000001836120,1836120,1871390,6.16,240,400,0.278851,-11.1,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000332;latest_live_05-A000333;latest_live_05-A000334;latest_live_05-A000335,passed
latest_live_05,latest_live_05-SEM0074-000001871590,1871590,1879430,8.24,80,280,0.288177,-10.82,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000336;latest_live_05-A000337;latest_live_05-A000338;latest_live_05-A000339;latest_live_05-A000340,passed
latest_live_05,latest_live_05-SEM0075-000001879630,1879630,1884970,7.84,200,280,0.252892,-11.98,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_05-A000341;latest_live_05-A000342;latest_live_05-A000343,passed
latest_live_06,latest_live_06-SEM0001-000000000160,160,33280,6.21,120,440,0.387828,-8.24,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000001;latest_live_06-A000002;latest_live_06-A000003;latest_live_06-A000004;latest_live_06-A000005,passed
latest_live_06,latest_live_06-SEM0002-000000033680,33680,51320,5.95,280,360,0.389293,-8.21,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000006;latest_live_06-A000007;latest_live_06-A000008;latest_live_06-A000009,passed
latest_live_06,latest_live_06-SEM0003-000000051680,51680,68840,5.61,80,8080,0.368273,-8.71,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000010;latest_live_06-A000011;latest_live_06-A000012;latest_live_06-A000013,passed
latest_live_06,latest_live_06-SEM0004-000000076920,76920,88200,6.9,160,510,0.393734,-8.1,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000014;latest_live_06-A000015;latest_live_06-A000016;latest_live_06-A000017,passed
latest_live_06,latest_live_06-SEM0005-000000088320,88320,124250,6.23,120,750,0.389079,-8.22,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000018;latest_live_06-A000019;latest_live_06-A000020;latest_live_06-A000021,passed
latest_live_06,latest_live_06-SEM0006-000000125000,125000,138720,7.11,120,2520,0.39442,-8.32,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000022;latest_live_06-A000023;latest_live_06-A000024;latest_live_06-A000025,passed
latest_live_06,latest_live_06-SEM0007-000000138840,138840,155960,6.62,120,560,0.43539,-7.26,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000026;latest_live_06-A000027;latest_live_06-A000028;latest_live_06-A000029,passed
latest_live_06,latest_live_06-SEM0008-000000156240,156240,173040,6.27,200,840,0.421221,-7.53,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000030;latest_live_06-A000031;latest_live_06-A000032;latest_live_06-A000033,passed
latest_live_06,latest_live_06-SEM0009-000000176520,176520,192920,5.79,80,440,0.547435,-5.24,0.0,normal_volume,normal_volume,measured_from_source_audio_rms,latest_live_06-A000036;latest_live_06-A000037;latest_live_06-A000038;latest_live_06-A000039,passed
