call_id,session_id,provider,model,modality,task_id,request_at,result_at,input_hash,output_hash,status,retry_count,local_raw_ref,git_safe_note
latest_live_02-QW0002,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:30+08:00,2026-07-23T16:04:30+08:00,1387db2e4cfe,39981c13ff35e2b5f4d90fc6dae338637ab17475176a196462ddbf3a53aa04d2,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0002_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0003,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:36+08:00,2026-07-23T16:04:36+08:00,b272aef77a43,acd5bbc1654199a918576520276d8c0378d5e99e35afe465f4d52b71aca513ce,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0003_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0004,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:41+08:00,2026-07-23T16:04:41+08:00,d476d14626e1,522d76c63489475f92170b94449aac6d1626fe172c3d646924a005f1fdfe61a5,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0004_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0005,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:46+08:00,2026-07-23T16:04:46+08:00,e578ce050014,c80b100f927f26f394f58e7a435357478a9bed192e9e122521e1034ac1b2cf8a,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0005_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0006,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:52+08:00,2026-07-23T16:04:52+08:00,1b5b87a56657,bb591de22512b4f1ef52152881421a46a7d7c49baf1b42ecb6843fd3c23c5f2a,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0006_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0007,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:04:57+08:00,2026-07-23T16:04:57+08:00,9174cabdf547,3dbf4fc65c93a0170408266c5a5380f38e286fb08910bb0896051c2c4ad2b13f,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0007_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0008,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:02+08:00,2026-07-23T16:05:02+08:00,2795cfabe75b,04b4bdd2ba90d0afe5c78c2e7cc31c7d1e724ec40381139beb773e7b767d4bb1,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0008_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0009,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:08+08:00,2026-07-23T16:05:08+08:00,af41531f528b,ed447dd4bbf93a0fb0a2de482b1052ce588f97838ded2f729b42cfd64243f71e,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0009_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0010,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:13+08:00,2026-07-23T16:05:13+08:00,198d46bb835a,11b602080d60a1374b8e0c89b9545a033b89f9bbbc80680ca4ee85efd6b67955,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0010_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
latest_live_02-QW0011,latest_live_02,Alibaba DashScope,qwen-vl-plus,qwen_vl_video_window,,2026-07-23T16:05:18+08:00,2026-07-23T16:05:18+08:00,0ae385055571,a28e3951da1d5f28fe90d8e7e5893bed15a34b9c494d3da460335ac2177562e8,connected,0,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/api_raw/latest_live_02_vision_0011_qwen-vl-plus.json,hash_and_redacted_ref_only_raw_local_not_committed
